Дисциплина;Курс;Семестр;КодКомпетенции;Компетенция;Тип_Компетенции;Название;УчебныйГод;Код_Студента;Оценка;Описание;ДиффенцированныйЗачет
Экономическая теория;1;1;241333;Способен использовать знания и методы экономической науки, применять статистико-математический инструментарий, строить экономико-математические модели, необходимые для решения профессиональных задач, анализировать и интерпретировать полученные результаты ОПК-1;ОПК;2.210-1;2022-2023;921114;Удовл;Экзамен;1
Элективные дисциплины по физической культуре и спорту;1;1;241328;Способен поддерживать должный уровень физической подготовленности для обеспечения полноценной социальной и профессиональной деятельности УК-7;УК;2.210-1;2022-2023;921114;Н/я;Зачет;0
Административное право;3;6;332467;Способен осуществлять профессиональную деятельность в соответствии с нормами профессиональной этики, нормами права, нормативными правовыми актами в сфере экономики, исключающими противоправное поведение. ОПК-5;ОПК;2.210-1;2024-2025;921116;Зачет;Зачет;0
Безопасность жизнедеятельности;1;1;241329;Способен создавать и поддерживать в повседневной жизни и в профессиональной деятельности безопасные условия жизнедеятельности для сохранения природной среды, обеспечения устойчивого развития общества, в том числе при угрозе и возникновении чрезвычайных ситуаций и военных конфликтов УК-8;УК;2.210-1;2022-2023;921116;Зачет;Зачет;0
Бухгалтерские информационные системы;3;5;332468;Способен использовать современные информационные технологии и программные средства при решении профессиональных задач. ОПК-6;ОПК;2.210-1;2024-2025;921116;Отл;Экзамен;1
Бухгалтерский управленческий учет;2;4;268472;Способен осуществлять сбор, анализ и использование данных хозяйственного, налогового и бюджетного учетов, учетной документации, бухгалтерской (финансовой), налоговой и статистической отчетности в целях оценки эффективности и прогнозирования финансово-хозяйственной деятельности хозяйствующего субъекта, а также выявления, предупреждения, локализации и нейтрализации внутренних и внешних угроз и рисков. ОПК-2;ОПК;2.210-1;2023-2024;921116;Хор;Экзамен;1
Бухгалтерский учет;2;3;268472;Способен осуществлять сбор, анализ и использование данных хозяйственного, налогового и бюджетного учетов, учетной документации, бухгалтерской (финансовой), налоговой и статистической отчетности в целях оценки эффективности и прогнозирования финансово-хозяйственной деятельности хозяйствующего субъекта, а также выявления, предупреждения, локализации и нейтрализации внутренних и внешних угроз и рисков. ОПК-2;ОПК;2.210-1;2023-2024;921116;Зачет;Зачет;0
Бухгалтерский учет;2;4;268472;Способен осуществлять сбор, анализ и использование данных хозяйственного, налогового и бюджетного учетов, учетной документации, бухгалтерской (финансовой), налоговой и статистической отчетности в целях оценки эффективности и прогнозирования финансово-хозяйственной деятельности хозяйствующего субъекта, а также выявления, предупреждения, локализации и нейтрализации внутренних и внешних угроз и рисков. ОПК-2;ОПК;2.210-1;2023-2024;921116;Хор;Экзамен;1
Бухгалтерский учет в организациях госсектора;3;5;332464;Способен осуществлять сбор, анализ и использование данных хозяйственного, налогового и бюджетного учетов, учетной документации, бухгалтерской (финансовой), налоговой и статистической отчетности в целях оценки эффективности и прогнозирования финансово-хозяйственной деятельности хозяйствующего субъекта, а также выявления, предупреждения, локализации и нейтрализации внутренних и внешних угроз и рисков. ОПК-2;ОПК;2.210-1;2024-2025;921116;Зачет;Зачет;0
Введение в профессию (адаптивная дисциплина для лиц с ограниченными возможностями здоровья);1;1;241330;Способен использовать базовые дефектологические знания в социальной и профессиональной сферах УК-9;УК;2.210-1;2022-2023;921116;Не изуч.;Зачет;0
Внутренний управленческий контроль;3;6;332476;Способен осуществлять внутреннюю аудиторскую проверку самостоятельно или в составе группы ПК-7;ПК;2.210-1;2024-2025;921116;NULL;Зачет;0
Деловое общение: риторика и письмо;1;1;241325;Способен применять современные коммуникативные технологии, в том числе на иностранном(ых) языке(ах), для академического и профессионального взаимодействия УК-4;УК;2.210-1;2022-2023;921116;Отл;Экзамен;1
Деньги, кредит и банки;2;3;268472;Способен осуществлять сбор, анализ и использование данных хозяйственного, налогового и бюджетного учетов, учетной документации, бухгалтерской (финансовой), налоговой и статистической отчетности в целях оценки эффективности и прогнозирования финансово-хозяйственной деятельности хозяйствующего субъекта, а также выявления, предупреждения, локализации и нейтрализации внутренних и внешних угроз и рисков. ОПК-2;ОПК;2.210-1;2023-2024;921116;Зачет;Зачет;0
Иностранный язык;1;1;241325;Способен применять современные коммуникативные технологии, в том числе на иностранном(ых) языке(ах), для академического и профессионального взаимодействия УК-4;УК;2.210-1;2022-2023;921116;Зачет;Зачет;0
Иностранный язык;1;2;241325;Способен применять современные коммуникативные технологии, в том числе на иностранном(ых) языке(ах), для академического и профессионального взаимодействия УК-4;УК;2.210-1;2022-2023;921116;Зачет;Зачет;0
Иностранный язык;2;3;268463;Способен применять современные коммуникативные технологии, в том числе на иностранном(ых) языке(ах), для академического и профессионального взаимодействия УК-4;УК;2.210-1;2023-2024;921116;Отл;Экзамен;1
Инструменты и методы экономического анализа;2;4;268473;Способен рассчитывать экономические показатели, характеризующие деятельность хозяйствующих субъектов. ОПК-3;ОПК;2.210-1;2023-2024;921116;Зачет;Зачет;0
Информационная безопасность;3;6;332475;Способен определять и контролировать цели, основные мероприятия и ключевые индикаторы на основе отчетности по вопросам обеспечения системы управления рисками, экономической безопасности и устойчивого развития социально-экономических систем и процессов организаций  ПК-6;ПК;2.210-1;2024-2025;921116;NULL;Экзамен;1
История (история России, всеобщая история);1;1;241322;Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий УК-1;УК;2.210-1;2022-2023;921116;Зачет;Зачет;0
История (история России, всеобщая история);1;1;241326;Способен анализировать и учитывать разнообразие культур в процессе межкультурного взаимодействия УК-5;УК;2.210-1;2022-2023;921116;Зачет;Зачет;0
Культура и креативность;2;3;268460;Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий УК-1;УК;2.210-1;2023-2024;921116;Не изуч.;Зачет;0
Культура и креативность;2;3;268462;Способен организовывать и руководить работой команды, вырабатывая командную стратегию для достижения поставленной цели УК-3;УК;2.210-1;2023-2024;921116;Не изуч.;Зачет;0
Культура и креативность;2;3;268464;Способен анализировать и учитывать разнообразие культур в процессе межкультурного взаимодействия УК-5;УК;2.210-1;2023-2024;921116;Не изуч.;Зачет;0
Математика;1;1;241333;Способен использовать знания и методы экономической науки, применять статистико-математический инструментарий, строить экономико-математические модели, необходимые для решения профессиональных задач, анализировать и интерпретировать полученные результаты ОПК-1;ОПК;2.210-1;2022-2023;921116;Отл;Экзамен;1
Математика;1;2;241333;Способен использовать знания и методы экономической науки, применять статистико-математический инструментарий, строить экономико-математические модели, необходимые для решения профессиональных задач, анализировать и интерпретировать полученные результаты ОПК-1;ОПК;2.210-1;2022-2023;921116;Хор;Экзамен;1
Методы анализа данных;3;5;332464;Способен осуществлять сбор, анализ и использование данных хозяйственного, налогового и бюджетного учетов, учетной документации, бухгалтерской (финансовой), налоговой и статистической отчетности в целях оценки эффективности и прогнозирования финансово-хозяйственной деятельности хозяйствующего субъекта, а также выявления, предупреждения, локализации и нейтрализации внутренних и внешних угроз и рисков. ОПК-2;ОПК;2.210-1;2024-2025;921116;Зачет;Зачет;0
Методы анализа данных;3;6;332464;Способен осуществлять сбор, анализ и использование данных хозяйственного, налогового и бюджетного учетов, учетной документации, бухгалтерской (финансовой), налоговой и статистической отчетности в целях оценки эффективности и прогнозирования финансово-хозяйственной деятельности хозяйствующего субъекта, а также выявления, предупреждения, локализации и нейтрализации внутренних и внешних угроз и рисков. ОПК-2;ОПК;2.210-1;2024-2025;921116;NULL;Экзамен;1
Мировая экономика и международные экономические отношения;1;2;241333;Способен использовать знания и методы экономической науки, применять статистико-математический инструментарий, строить экономико-математические модели, необходимые для решения профессиональных задач, анализировать и интерпретировать полученные результаты ОПК-1;ОПК;2.210-1;2022-2023;921116;Зачет;Зачет;0
Облачные технологии;3;5;332468;Способен использовать современные информационные технологии и программные средства при решении профессиональных задач. ОПК-6;ОПК;2.210-1;2024-2025;921116;Отл;Экзамен;1
Облачные технологии;3;5;332469;Способен понимать принципы работы современных информационных технологий и использовать их для решения задач профессиональной деятельности. ОПК-7;ОПК;2.210-1;2024-2025;921116;Отл;Экзамен;1
Основы бухгалтерского учета;1;2;241334;Способен осуществлять сбор, анализ и использование данных хозяйственного, налогового и бюджетного учетов, учетной информации, бухгалтерской (финансовой), налоговой и статистической отчетности в целях оценки эффективности и прогнозирования финансово-хозяйственной деятельности хозяйствующего субъекта, а также выявления, предупреждения, локализации и нейтрализации внутренних и внешних угроз и рисков ОПК-2;ОПК;2.210-1;2022-2023;921116;Хор;Экзамен;1
Основы менеджмента и маркетинга;2;3;268474;Способен разрабатывать и принимать экономически и финансово обоснованные организационно-управленческие решения, планировать и организовывать профессиональную деятельность, осуществлять контроль и учет ее результатов. ОПК-4;ОПК;2.210-1;2023-2024;921116;Зачет;Зачет;0
Основы менеджмента и маркетинга;2;4;268474;Способен разрабатывать и принимать экономически и финансово обоснованные организационно-управленческие решения, планировать и организовывать профессиональную деятельность, осуществлять контроль и учет ее результатов. ОПК-4;ОПК;2.210-1;2023-2024;921116;Хор;Экзамен;1
Основы современной социологии;2;3;268460;Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий УК-1;УК;2.210-1;2023-2024;921116;Не изуч.;Зачет;0
Основы современной социологии;2;3;268462;Способен организовывать и руководить работой команды, вырабатывая командную стратегию для достижения поставленной цели УК-3;УК;2.210-1;2023-2024;921116;Не изуч.;Зачет;0
Основы современной социологии;2;3;268464;Способен анализировать и учитывать разнообразие культур в процессе межкультурного взаимодействия УК-5;УК;2.210-1;2023-2024;921116;Не изуч.;Зачет;0
Основы современной социологии;2;3;268468;Способен использовать базовые дефектологические знания в социальной и профессиональной сферах УК-9;УК;2.210-1;2023-2024;921116;Не изуч.;Зачет;0
Основы экономического прогнозирования;3;5;332474;Способен проводить экономические расчеты, направленные на идентификацию, анализ и оценку рисков ПК-5;ПК;2.210-1;2024-2025;921116;Зачет;Зачет;0
Политика и управление;2;3;268460;Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий УК-1;УК;2.210-1;2023-2024;921116;Не изуч.;Зачет;0
Политика и управление;2;3;268462;Способен организовывать и руководить работой команды, вырабатывая командную стратегию для достижения поставленной цели УК-3;УК;2.210-1;2023-2024;921116;Не изуч.;Зачет;0
Политика и управление;2;3;268464;Способен анализировать и учитывать разнообразие культур в процессе межкультурного взаимодействия УК-5;УК;2.210-1;2023-2024;921116;Не изуч.;Зачет;0
Политика и управление;2;3;268470;Способен формировать нетерпимое отношение к проявлениям экстремизма, терроризма, коррупционному поведению и противодействовать им в профессиональной деятельности УК-11;УК;2.210-1;2023-2024;921116;Не изуч.;Зачет;0
Правовая культура;1;2;241332;Способен формировать нетерпимое отношение к коррупционному поведению УК-11;УК;2.210-1;2022-2023;921116;Зачет;Зачет;0
Проектные решения в IT-сфере;2;4;268461;Способен управлять проектом на всех этапах его жизненного цикла УК-2;УК;2.210-1;2023-2024;921116;Не изуч.;КурсПроект;1
Проектные решения в IT-сфере;2;4;268461;Способен управлять проектом на всех этапах его жизненного цикла УК-2;УК;2.210-1;2023-2024;921116;Не изуч.;Экзамен;1
Проектные решения в IT-сфере;2;4;268462;Способен организовывать и руководить работой команды, вырабатывая командную стратегию для достижения поставленной цели УК-3;УК;2.210-1;2023-2024;921116;Не изуч.;КурсПроект;1
Проектные решения в IT-сфере;2;4;268462;Способен организовывать и руководить работой команды, вырабатывая командную стратегию для достижения поставленной цели УК-3;УК;2.210-1;2023-2024;921116;Не изуч.;Экзамен;1
Проектные решения в IT-сфере;2;4;268465;Способен определять и реализовывать приоритеты собственной деятельности и способы ее совершенствования на основе самооценки и образования в течение всей жизни УК-6;УК;2.210-1;2023-2024;921116;Не изуч.;КурсПроект;1
Проектные решения в IT-сфере;2;4;268465;Способен определять и реализовывать приоритеты собственной деятельности и способы ее совершенствования на основе самооценки и образования в течение всей жизни УК-6;УК;2.210-1;2023-2024;921116;Не изуч.;Экзамен;1
Проектные решения в государственном и муниципальном управлении;2;4;268461;Способен управлять проектом на всех этапах его жизненного цикла УК-2;УК;2.210-1;2023-2024;921116;Не изуч.;КурсПроект;1
Проектные решения в государственном и муниципальном управлении;2;4;268461;Способен управлять проектом на всех этапах его жизненного цикла УК-2;УК;2.210-1;2023-2024;921116;Не изуч.;Экзамен;1
Проектные решения в государственном и муниципальном управлении;2;4;268462;Способен организовывать и руководить работой команды, вырабатывая командную стратегию для достижения поставленной цели УК-3;УК;2.210-1;2023-2024;921116;Не изуч.;КурсПроект;1
Проектные решения в государственном и муниципальном управлении;2;4;268462;Способен организовывать и руководить работой команды, вырабатывая командную стратегию для достижения поставленной цели УК-3;УК;2.210-1;2023-2024;921116;Не изуч.;Экзамен;1
Проектные решения в государственном и муниципальном управлении;2;4;268465;Способен определять и реализовывать приоритеты собственной деятельности и способы ее совершенствования на основе самооценки и образования в течение всей жизни УК-6;УК;2.210-1;2023-2024;921116;Не изуч.;КурсПроект;1
Проектные решения в государственном и муниципальном управлении;2;4;268465;Способен определять и реализовывать приоритеты собственной деятельности и способы ее совершенствования на основе самооценки и образования в течение всей жизни УК-6;УК;2.210-1;2023-2024;921116;Не изуч.;Экзамен;1
Проектные решения в менеджменте;2;4;268461;Способен управлять проектом на всех этапах его жизненного цикла УК-2;УК;2.210-1;2023-2024;921116;Не изуч.;КурсПроект;1
Проектные решения в менеджменте;2;4;268461;Способен управлять проектом на всех этапах его жизненного цикла УК-2;УК;2.210-1;2023-2024;921116;Не изуч.;Экзамен;1
Проектные решения в менеджменте;2;4;268462;Способен организовывать и руководить работой команды, вырабатывая командную стратегию для достижения поставленной цели УК-3;УК;2.210-1;2023-2024;921116;Не изуч.;КурсПроект;1
Проектные решения в менеджменте;2;4;268462;Способен организовывать и руководить работой команды, вырабатывая командную стратегию для достижения поставленной цели УК-3;УК;2.210-1;2023-2024;921116;Не изуч.;Экзамен;1
Проектные решения в менеджменте;2;4;268465;Способен определять и реализовывать приоритеты собственной деятельности и способы ее совершенствования на основе самооценки и образования в течение всей жизни УК-6;УК;2.210-1;2023-2024;921116;Не изуч.;КурсПроект;1
Проектные решения в менеджменте;2;4;268465;Способен определять и реализовывать приоритеты собственной деятельности и способы ее совершенствования на основе самооценки и образования в течение всей жизни УК-6;УК;2.210-1;2023-2024;921116;Не изуч.;Экзамен;1
Проектные решения в сфере экономики;2;4;268461;Способен управлять проектом на всех этапах его жизненного цикла УК-2;УК;2.210-1;2023-2024;921116;Удовл;Экзамен;1
Проектные решения в сфере экономики;2;4;268461;Способен управлять проектом на всех этапах его жизненного цикла УК-2;УК;2.210-1;2023-2024;921116;Хор;КурсПроект;1
Проектные решения в сфере экономики;2;4;268462;Способен организовывать и руководить работой команды, вырабатывая командную стратегию для достижения поставленной цели УК-3;УК;2.210-1;2023-2024;921116;Удовл;Экзамен;1
Проектные решения в сфере экономики;2;4;268462;Способен организовывать и руководить работой команды, вырабатывая командную стратегию для достижения поставленной цели УК-3;УК;2.210-1;2023-2024;921116;Хор;КурсПроект;1
Проектные решения в сфере экономики;2;4;268465;Способен определять и реализовывать приоритеты собственной деятельности и способы ее совершенствования на основе самооценки и образования в течение всей жизни УК-6;УК;2.210-1;2023-2024;921116;Удовл;Экзамен;1
Проектные решения в сфере экономики;2;4;268465;Способен определять и реализовывать приоритеты собственной деятельности и способы ее совершенствования на основе самооценки и образования в течение всей жизни УК-6;УК;2.210-1;2023-2024;921116;Хор;КурсПроект;1
Проектный менеджмент;2;3;268461;Способен управлять проектом на всех этапах его жизненного цикла УК-2;УК;2.210-1;2023-2024;921116;Зачет;Зачет;0
Проектный менеджмент;2;3;268462;Способен организовывать и руководить работой команды, вырабатывая командную стратегию для достижения поставленной цели УК-3;УК;2.210-1;2023-2024;921116;Зачет;Зачет;0
Проектный менеджмент;2;3;268465;Способен определять и реализовывать приоритеты собственной деятельности и способы ее совершенствования на основе самооценки и образования в течение всей жизни УК-6;УК;2.210-1;2023-2024;921116;Зачет;Зачет;0
Производственная практика: практика по профилю профессиональной деятельности;3;6;332452;Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий УК-1;УК;2.210-1;2024-2025;921116;NULL;Прак.;1
Производственная практика: практика по профилю профессиональной деятельности;3;6;332453;Способен управлять проектом на всех этапах его жизненного цикла УК-2;УК;2.210-1;2024-2025;921116;NULL;Прак.;1
Производственная практика: практика по профилю профессиональной деятельности;3;6;332454;Способен организовывать и руководить работой команды, вырабатывая командную стратегию для достижения поставленной цели УК-3;УК;2.210-1;2024-2025;921116;NULL;Прак.;1
Производственная практика: практика по профилю профессиональной деятельности;3;6;332455;Способен применять современные коммуникативные технологии, в том числе на иностранном(ых) языке(ах), для академического и профессионального взаимодействия УК-4;УК;2.210-1;2024-2025;921116;NULL;Прак.;1
Производственная практика: практика по профилю профессиональной деятельности;3;6;332456;Способен анализировать и учитывать разнообразие культур в процессе межкультурного взаимодействия УК-5;УК;2.210-1;2024-2025;921116;NULL;Прак.;1
Производственная практика: практика по профилю профессиональной деятельности;3;6;332457;Способен определять и реализовывать приоритеты собственной деятельности и способы ее совершенствования на основе самооценки и образования в течение всей жизни УК-6;УК;2.210-1;2024-2025;921116;NULL;Прак.;1
Производственная практика: практика по профилю профессиональной деятельности;3;6;332458;Способен поддерживать должный уровень физической подготовленности для обеспечения полноценной социальной и профессиональной деятельности УК-7;УК;2.210-1;2024-2025;921116;NULL;Прак.;1
Производственная практика: практика по профилю профессиональной деятельности;3;6;332459;Способен создавать и поддерживать в повседневной жизни и в профессиональной деятельности безопасные условия жизнедеятельности для сохранения природной среды, обеспечения устойчивого развития общества, в том числе при угрозе и возникновении чрезвычайных ситуаций и военных конфликтов УК-8;УК;2.210-1;2024-2025;921116;NULL;Прак.;1
Производственная практика: практика по профилю профессиональной деятельности;3;6;332460;Способен использовать базовые дефектологические знания в социальной и профессиональной сферах УК-9;УК;2.210-1;2024-2025;921116;NULL;Прак.;1
Производственная практика: практика по профилю профессиональной деятельности;3;6;332461;Способен принимать обоснованные экономические решения в различных областях жизнедеятельности УК-10;УК;2.210-1;2024-2025;921116;NULL;Прак.;1
Производственная практика: практика по профилю профессиональной деятельности;3;6;332462;Способен формировать нетерпимое отношение к проявлениям экстремизма, терроризма, коррупционному поведению и противодействовать им в профессиональной деятельности УК-11;УК;2.210-1;2024-2025;921116;NULL;Прак.;1
Производственная практика: практика по профилю профессиональной деятельности;3;6;332463;Способен использовать знания и методы экономической науки, применять статистико-математический инструментарий, строить экономико-математические модели, необходимые для решения профессиональных задач, анализировать и интерпретировать полученные результаты. ОПК-1;ОПК;2.210-1;2024-2025;921116;NULL;Прак.;1
Производственная практика: практика по профилю профессиональной деятельности;3;6;332464;Способен осуществлять сбор, анализ и использование данных хозяйственного, налогового и бюджетного учетов, учетной документации, бухгалтерской (финансовой), налоговой и статистической отчетности в целях оценки эффективности и прогнозирования финансово-хозяйственной деятельности хозяйствующего субъекта, а также выявления, предупреждения, локализации и нейтрализации внутренних и внешних угроз и рисков. ОПК-2;ОПК;2.210-1;2024-2025;921116;NULL;Прак.;1
Производственная практика: практика по профилю профессиональной деятельности;3;6;332465;Способен рассчитывать экономические показатели, характеризующие деятельность хозяйствующих субъектов. ОПК-3;ОПК;2.210-1;2024-2025;921116;NULL;Прак.;1
Производственная практика: практика по профилю профессиональной деятельности;3;6;332466;Способен разрабатывать и принимать экономически и финансово обоснованные организационно-управленческие решения, планировать и организовывать профессиональную деятельность, осуществлять контроль и учет ее результатов. ОПК-4;ОПК;2.210-1;2024-2025;921116;NULL;Прак.;1
Производственная практика: практика по профилю профессиональной деятельности;3;6;332467;Способен осуществлять профессиональную деятельность в соответствии с нормами профессиональной этики, нормами права, нормативными правовыми актами в сфере экономики, исключающими противоправное поведение. ОПК-5;ОПК;2.210-1;2024-2025;921116;NULL;Прак.;1
Производственная практика: практика по профилю профессиональной деятельности;3;6;332468;Способен использовать современные информационные технологии и программные средства при решении профессиональных задач. ОПК-6;ОПК;2.210-1;2024-2025;921116;NULL;Прак.;1
Производственная практика: практика по профилю профессиональной деятельности;3;6;332469;Способен понимать принципы работы современных информационных технологий и использовать их для решения задач профессиональной деятельности. ОПК-7;ОПК;2.210-1;2024-2025;921116;NULL;Прак.;1
Производственная практика: практика по профилю профессиональной деятельности;3;6;332475;Способен определять и контролировать цели, основные мероприятия и ключевые индикаторы на основе отчетности по вопросам обеспечения системы управления рисками, экономической безопасности и устойчивого развития социально-экономических систем и процессов организаций  ПК-6;ПК;2.210-1;2024-2025;921116;NULL;Прак.;1
Профессиональная этика и служебный этикет;3;6;332467;Способен осуществлять профессиональную деятельность в соответствии с нормами профессиональной этики, нормами права, нормативными правовыми актами в сфере экономики, исключающими противоправное поведение. ОПК-5;ОПК;2.210-1;2024-2025;921116;Зачет;Зачет;0
Статистика;2;3;268471;Способен использовать знания и методы экономической науки, применять статистико-математический инструментарий, строить экономико-математические модели, необходимые для решения профессиональных задач, анализировать и интерпретировать полученные результаты. ОПК-1;ОПК;2.210-1;2023-2024;921116;Отл;Экзамен;1
Статистика;2;3;268472;Способен осуществлять сбор, анализ и использование данных хозяйственного, налогового и бюджетного учетов, учетной документации, бухгалтерской (финансовой), налоговой и статистической отчетности в целях оценки эффективности и прогнозирования финансово-хозяйственной деятельности хозяйствующего субъекта, а также выявления, предупреждения, локализации и нейтрализации внутренних и внешних угроз и рисков. ОПК-2;ОПК;2.210-1;2023-2024;921116;Отл;Экзамен;1
Уголовное право;3;6;332467;Способен осуществлять профессиональную деятельность в соответствии с нормами профессиональной этики, нормами права, нормативными правовыми актами в сфере экономики, исключающими противоправное поведение. ОПК-5;ОПК;2.210-1;2024-2025;921116;Зачет;Зачет;0
Учебная практика: ознакомительная практика;2;4;268460;Способен осуществлять критический анализ проблемных ситуаций на основе системного подхода, вырабатывать стратегию действий УК-1;УК;2.210-1;2023-2024;921116;Хор;Прак.;1
Учебная практика: ознакомительная практика;2;4;268461;Способен управлять проектом на всех этапах его жизненного цикла УК-2;УК;2.210-1;2023-2024;921116;Хор;Прак.;1
Учебная практика: ознакомительная практика;2;4;268462;Способен организовывать и руководить работой команды, вырабатывая командную стратегию для достижения поставленной цели УК-3;УК;2.210-1;2023-2024;921116;Хор;Прак.;1
