Дисциплина;Курс;Семестр;КодКомпетенции;Компетенция;Тип_Компетенции;Название;УчебныйГод;Код_Студента;Оценка;Описание
Комплексный анализ;3;5;252928;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2022-2023;69659;Зачет;Зачет
Компьютерная графика;3;5;252930;Способность применять в профессиональной деятельности современные языки программирования и методы параллельной обработки данных, операционные системы, электронные библиотеки и пакеты программ, сетевые технологии ПК-6;ПК;404а;2022-2023;69659;Зачет;Зачет
Компьютерные сети;1;2;198594;Способен применять компьютерные/суперкомпьютерные методы, современное программное обеспечение, в том числе отечественного происхождения, для решения задач профессиональной деятельности ОПК-2;ОПК;404а;2020-2021;69659;Зачет;Зачет
Компьютерные сети;1;2;198596;Способен участвовать в разработке технической документации программных продуктов и комплексов с использованием стандартов, норм и правил, а также в управлении проектами создания информационных систем на стадиях жизненного цикла ОПК-4;ОПК;404а;2020-2021;69659;Зачет;Зачет
Компьютерные сети;1;2;198602;Способность применять в профессиональной деятельности современные языки программирования и методы параллельной обработки данных, операционные системы, электронные библиотеки и пакеты программ, сетевые технологии ПК-6;ПК;404а;2020-2021;69659;Зачет;Зачет
Криптография;2;4;212701;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2021-2022;69659;Зачет;Зачет
Криптография;2;4;212709;Способен применять фундаментальные знания, полученные в области математических и (или) естественных наук, и использовать их в профессиональной деятельности ОПК-1;ОПК;404а;2021-2022;69659;Зачет;Зачет
Криптография;2;4;212714;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2021-2022;69659;Зачет;Зачет
Криптография;2;4;212716;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2021-2022;69659;Зачет;Зачет
Математическая статистика и теория случайных процессов;2;4;212701;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2021-2022;69659;Зачет;Зачет
Математическая статистика и теория случайных процессов;2;4;212709;Способен применять фундаментальные знания, полученные в области математических и (или) естественных наук, и использовать их в профессиональной деятельности ОПК-1;ОПК;404а;2021-2022;69659;Зачет;Зачет
Математическая статистика и теория случайных процессов;2;4;212714;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2021-2022;69659;Зачет;Зачет
Математическая статистика и теория случайных процессов;2;4;212716;"Способность понимать и применять в научно-исследовательской и прикладной деятельности современный математический аппарат; основные законы естествознания, современные языки программирования и программное обеспечение; операционные системы и сетевые технологии ПК-3";ПК;404а;2021-2022;69659;Зачет;Зачет
Математические методы в экономике;4;7;265808;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2023-2024;69659;Не изуч.;Экзамен
Математические методы в экономике;4;7;265821;Способность демонстрации общенаучных базовых знаний математических и естественных наук, фундаментальной информатики и информационных технологий ПК-1;ПК;404а;2023-2024;69659;Не изуч.;Экзамен
Математический анализ;1;1;198585;Способен осуществлять поиск, критический анализ и синтез информации, применять системный подход для решения поставленных задач УК-1;УК;404а;2020-2021;69659;Удовл;Экзамен
Математический анализ;1;1;198593;Способен применять фундаментальные знания, полученные в области математических и (или) естественных наук, и использовать их в профессиональной деятельности ОПК-1;ОПК;404а;2020-2021;69659;Удовл;Экзамен
